CUSTOMER_ID,ASSESSMENT_YEAR,PRODUCT_DEMAND,OWNERS_MANAGEMENT,ACCESS_CREDIT,PROFITABILITY,SHORT_TERM_LIQUIDITY,MEDIUM_TERM_LIQUIDITY,GROUP_FLAG,TURNOVER,INDUSTRY,DEFAULT_FLAG
2922048,2006,55,55,50,50,50,48,0,6000158.4,Trade,0
1614707,2002,85,80,85,70,80,80,0,6000404.88,Property and Construction Sectors,0
1633173,2005,50,40,40,40,40,50,1,6001002,"Transport, Storage and Communications Infrastructure",0
1605050,2006,60,65,60,65,65,63,0,6002305.68,Property and Construction Sectors,0
1585107,2005,58,51,54,55,60,58,0,6002603.91,Manufacturing,0
1567750,2008,55,55,54,18,68,47,0,6003950.48,Manufacturing,0
1581784,2006,50,49,50,52,53,54,0,6004191.62,Trade,0
1607834,2008,50,65,50,50,55,55,0,6004251.15,Office Machinery and Computer Industries,1
3376207,2008,70,55,55,50,50,50,0,6006214.32,Office Machinery and Computer Industries,0
4657320,2008,49,48,39,45,37,38,0,6008461.39,Office Machinery and Computer Industries,0
4657320,2008,45,45,30,40,30,30,0,6008461.39,Office Machinery and Computer Industries,0
1552446,2004,55,65,60,52,55,65,1,6011826.26,Manufacturing,0
207242,2007,59,57,63,62,75,75,0,6012055.67,Manufacturing,0
3360456,2008,30,60,30,30,30,30,1,6012827.84,Office Machinery and Computer Industries,0
1631316,2008,45,45,45,45,45,45,1,6015876.37,Manufacturing,1
1630766,2007,52,55,53,50,54,51,1,6016227.62,Manufacturing,0
1583726,2006,60,55,55,50,50,50,1,6017897.1,Office Machinery and Computer Industries,0
1552446,2003,55,70,60,50,55,65,1,6019535.53,Manufacturing,0
2410079,2003,60,60,55,55,55,55,0,6020266.12,"Transport, Storage and Communications Infrastructure",0
1578550,2003,60,65,65,60,50,50,0,6021378.99,Manufacturing,0
1596505,2002,55,50,60,55,55,55,0,6023748,Manufacturing,0
4528759,2008,50,50,55,55,55,55,1,6024585.82,Manufacturing,0
1556014,2005,58,57,61,60,64,63,1,6025516.7,Manufacturing,0
1554488,2003,45,55,45,45,50,45,0,6025984.43,Manufacturing,1
1591981,2004,58,60,64,64,63,63,1,6026102.67,Manufacturing,0
1591706,2003,65,60,60,70,60,60,1,6027149.55,"Transport, Storage and Communications Infrastructure",0
1609156,2004,60,60,60,55,60,55,0,6031215.79,Office Machinery and Computer Industries,0
189206,2007,65,70,83,71,85,83,1,6035286.3,Manufacturing,0
3365298,2006,60,50,50,50,50,40,0,6036947.2,Property and Construction Sectors,0
1554049,2005,52,50,45,45,50,52,0,6045375.31,Manufacturing,0
1596934,2008,58,58,50,50,40,55,0,6046988.1,Office Machinery and Computer Industries,0
1591741,2006,50,50,50,50,50,50,1,6049927.15,Trade,0
1629646,2004,55,52,50,50,52,55,0,6052856.56,Manufacturing,0
2414668,2008,70,70,70,70,70,70,1,6056126.71,Trade,0
1618702,2006,59,59,57,57,58,58,1,6056320.74,Manufacturing,0
1603312,2007,50,65,50,45,49,49,1,6058456.19,Trade,0
1583811,2007,60,58,57,55,65,50,1,6060256.06,Property and Construction Sectors,0
1557299,2005,53,58,55,51,57,57,1,6061234.87,Manufacturing,0
3083760,2005,55,55,54,57,52,52,1,6063890.98,Property and Construction Sectors,0
4460826,2008,42,50,50,51,56,55,0,6065793.41,Property and Construction Sectors,0
1592835,2004,67,55,60,55,60,58,0,6065866.92,Property and Construction Sectors,0
1585642,2005,56,51,54,52,57,57,0,6066964.32,Manufacturing,0
1555703,2004,60,61,61,60,61,62,0,6070839.51,Trade,0
4461038,2006,65,55,55,55,55,55,1,6071332.9,Property and Construction Sectors,0
1601929,2005,65,60,56,60,54,61,0,6073691,Manufacturing,0
1570759,2007,45,62,50,24,84,54,0,6075288.27,Manufacturing,0
2819654,2008,50,50,50,50,48,45,0,6075888.52,Property and Construction Sectors,1
1557203,2003,60,60,55,50,60,50,0,6078620,Manufacturing,0
1589924,2003,55,55,60,58,55,60,1,6079068.25,Manufacturing,0
